State,Year,Drug Related Deaths,"Rate per 100,000"
Colorado,2012,1574,30.341689056674188
Colorado,2013,1650,31.319002643513635
Colorado,2014,1729,32.282361059817404
Colorado,2015,1750,32.07140597745032
Colorado,2016,1889,34.094118899855516
Colorado,2017,2067,36.86362100987417
Connecticut,1999,500,14.764937761357857
Connecticut,2000,531,15.592126416615157
Connecticut,2001,477,13.89522071407452
Connecticut,2002,570,16.47994694035329
Connecticut,2003,515,14.780434493114328
Connecticut,2004,540,15.445808951361148
Connecticut,2005,534,15.226880519744187
Connecticut,2006,641,18.223377095972662
Connecticut,2007,658,18.65465359895897
Connecticut,2008,626,17.655790492892695
Connecticut,2009,615,17.266516686614406
Connecticut,2010,555,15.528397802298034
Connecticut,2011,604,16.868167728793374
Connecticut,2012,637,17.742017693554413
Connecticut,2013,881,24.498898800916557
Connecticut,2014,934,25.96841473393357
Connecticut,2015,1165,32.44324659707939
Connecticut,2016,1331,37.215653949780396
Connecticut,2017,1453,40.494021488307176
Delaware,1999,103,13.290494070891237
Delaware,2000,90,11.485451761102603
Delaware,2001,123,15.458106645854777
Delaware,2002,151,18.730563938826723
Delaware,2003,151,18.45959000150366
Delaware,2004,138,16.61043592765072
Delaware,2005,117,13.843696385257054
Delaware,2006,130,15.129156444787888
Delaware,2007,148,16.977363897176826
Delaware,2008,190,21.49627661861306
Delaware,2009,202,22.652596637995806
Delaware,2010,213,23.721119815042083
Delaware,2011,215,23.70099268576342
Delaware,2012,186,20.281498475616402
Delaware,2013,229,24.73672669373664
Delaware,2014,279,29.819989867616346
Delaware,2015,282,29.811805051938084
Delaware,2016,375,39.38806699122434
Delaware,2017,434,45.117205976678356
District of Columbia,1999,124,21.7462597310128
District of Columbia,2000,183,31.9897073553602
District of Columbia,2001,216,37.59764945065657
District of Columbia,2002,171,29.834705264516938
District of Columbia,2003,208,36.58738227833851
District of Columbia,2004,211,37.16398299263413
District of Columbia,2005,170,29.975173503357222
District of Columbia,2006,195,34.16970251331304
District of Columbia,2007,146,25.41765029491438
District of Columbia,2008,135,23.26639505304738
District of Columbia,2009,104,17.560804284836244
District of Columbia,2010,161,26.756497591084266
District of Columbia,2011,148,23.948375070388806
District of Columbia,2012,141,22.298730237552643
District of Columbia,2013,172,26.606893969980618
District of Columbia,2014,156,23.67607487103369
District of Columbia,2015,194,28.85925608573282
District of Columbia,2016,341,50.06092458563941
District of Columbia,2017,374,53.892664257347555
Florida,1999,2345,14.879988293986182
Florida,2000,2576,16.117751688766216
Florida,2001,3237,19.789733621748677
Florida,2002,3465,20.761718387212937
Florida,2003,3636,21.38309706167665
Florida,2004,3929,22.56059866377404
Florida,2005,4275,23.960267319237857
Florida,2006,4672,25.716973477719755
Florida,2007,4703,25.60453209473383
Florida,2008,4859,26.226156475537053
Florida,2009,4880,26.16251079471629
Florida,2010,4930,26.221577113509642
Florida,2011,4889,25.653885480089723
Florida,2012,4657,24.107589526797575
Florida,2013,4668,23.87374532421344
Florida,2014,5164,25.95849245099995
Florida,2015,5856,28.888172385038295
Florida,2016,7620,36.967968710544156
Florida,2017,7943,37.851928098968756
Georgia,1999,816,10.1417294258675
Georgia,2000,911,11.128140600086509
Georgia,2001,1091,13.023696442585075
Georgia,2002,1152,13.539790058033043
Georgia,2003,1188,13.777438470342497
Georgia,2004,1287,14.676280257426745
Georgia,2005,1325,14.844404869323302
Georgia,2006,1410,15.400052403866265
Georgia,2007,1478,15.807506918725457
Georgia,2008,1457,15.329027528387371
Georgia,2009,1574,16.36030760704412
Georgia,2010,1752,18.084875665963676
Georgia,2011,1703,17.350622146647904
Georgia,2012,1747,17.610984738322642
Georgia,2013,1831,18.324353466069972
Georgia,2014,1940,19.212975136132346
Georgia,2015,2091,20.470177760634996
Georgia,2016,2251,21.832386050899622
Georgia,2017,2475,23.73103901967701
Hawaii,1999,116,9.58440056184417
Hawaii,2000,101,8.3365179932598
Hawaii,2001,112,9.135787162261368
Hawaii,2002,120,9.680440589119346
Hawaii,2003,132,10.550259999968029
Hawaii,2004,192,15.075743834845227
Hawaii,2005,192,14.85230083025909
Hawaii,2006,188,14.35409255793747
Hawaii,2007,207,15.733368803085868
Hawaii,2008,198,14.862488205714852
Hawaii,2009,237,17.5983521407987
Hawaii,2010,232,17.055048845806922
Hawaii,2011,262,19.05717881016286
Hawaii,2012,236,16.950211626265073
Hawaii,2013,224,15.953802346633392
Hawaii,2014,256,18.0337442350135
Hawaii,2015,259,18.09160779908955
Hawaii,2016,290,20.300205032070824
Hawaii,2017,308,21.575607794678668
Idaho,1999,131,10.26908128565762
